    User: glassfish
    Date: Wed 19-Feb-2014 (050) 18:53:41
  Status: request completed successfully


GROUP 1    Satellite   Resolution   Factor
            isee3         720         1

           Start Time           Stop Time 
           2014  50  0.00000    2014 223  0.00000


 Coord/            Min/Max          Range Filter              Filter
Component   Output Markers      Minimum         Maximum      Mins/Maxes
GEO X        YES      -           -               -               -   
GEO Y        YES      -           -               -               -   
GEO Z        YES      -           -               -               -   
GEO Lat      YES      -           -               -               -   
GEO Lon      YES      -           -               -               -   


Addtnl             Min/Max          Range Filter              Filter
Options     Output Markers      Minimum         Maximum      Mins/Maxes
dEarth       YES      -           -               -               -   

Output - File: 
         lines per page: 0
 
Formats and units:
    Day/Time format: YY/MM/DD HH:MM
    Degrees/Hemisphere format: Decimal degrees with 1 place(s).
        Longitude 0 to 360, latitude -90 to 90.
    Distance format: Kilometers with 3 place(s).

isee3
      Time                         GEO (km)                        GEO         Radius    
yy/mm/dd hh:mm        X               Y               Z         Lat   Long      (km)     

14/02/20 16:00    42112592.000     9104738.000    12782667.000  16.5  12.2   44941776.000
14/02/20 16:12    42529564.000     6887318.000    12783753.000  16.5   9.2   44940224.000
14/02/20 16:24    42829872.000     4651212.500    12784840.000  16.5   6.2   44938668.000
14/02/20 16:36    43012692.000     2402553.000    12785926.000  16.5   3.2   44937116.000
14/02/20 16:48    43077552.000      147507.406    12787012.000  16.5   0.2   44935564.000
14/02/20 17:00    43024260.000    -2107743.750    12788097.000  16.5 357.2   44934008.000
14/02/20 17:12    42852988.000    -4357002.500    12789182.000  16.5 354.2   44932452.000
14/02/20 17:24    42563768.000    -6596990.500    12790267.000  16.5 351.2   44930900.000
14/02/20 17:36    42158140.000    -8815788.000    12791352.000  16.5 348.2   44929340.000
14/02/20 17:48    41636940.000   -11010210.000    12792435.000  16.5 345.2   44927784.000
14/02/20 18:00    41001604.000   -13174245.000    12793518.000  16.5 342.2   44926232.000
14/02/20 18:12    40253884.000   -15301947.000    12794601.000  16.5 339.2   44924676.000
14/02/20 18:24    39395832.000   -17387500.000    12795684.000  16.5 336.2   44923120.000
14/02/20 18:36    38429836.000   -19425178.000    12796767.000  16.6 333.2   44921560.000
14/02/20 18:48    37357076.000   -21411932.000    12797848.000  16.6 330.2   44920004.000
14/02/20 19:00    36183288.000   -23337176.000    12798930.000  16.6 327.2   44918448.000
14/02/20 19:12    34910372.000   -25198258.000    12800011.000  16.6 324.2   44916888.000
14/02/20 19:24    33541844.000   -26990066.000    12801092.000  16.6 321.2   44915328.000
14/02/20 19:36    32081450.000   -28707700.000    12802172.000  16.6 318.2   44913772.000
14/02/20 19:48    30533212.000   -30346444.000    12803252.000  16.6 315.2   44912212.000
14/02/20 20:00    28901376.000   -31901822.000    12804331.000  16.6 312.2   44910656.000
14/02/20 20:12    27190432.000   -33369574.000    12805410.000  16.6 309.2   44909096.000
14/02/20 20:24    25402736.000   -34747400.000    12806490.000  16.6 306.2   44907536.000
14/02/20 20:36    23547780.000   -36027972.000    12807569.000  16.6 303.2   44905976.000
14/02/20 20:48    21628424.000   -37209628.000    12808646.000  16.6 300.2   44904412.000
14/02/20 21:00    19649928.000   -38289132.000    12809723.000  16.6 297.2   44902852.000
14/02/20 21:12    17617726.000   -39263536.000    12810800.000  16.6 294.2   44901292.000
14/02/20 21:24    15537389.000   -40130180.000    12811877.000  16.6 291.2   44899736.000
14/02/20 21:36    13414635.000   -40886692.000    12812954.000  16.6 288.2   44898168.000
14/02/20 21:48    11252480.000   -41531768.000    12814029.000  16.6 285.2   44896608.000
14/02/20 22:00     9062422.000   -42061992.000    12815105.000  16.6 282.2   44895048.000
14/02/20 22:12     6847713.000   -42476812.000    12816181.000  16.6 279.2   44893484.000
14/02/20 22:24     4614429.000   -42775104.000    12817256.000  16.6 276.2   44891924.000
14/02/20 22:36     2368690.750   -42956072.000    12818330.000  16.6 273.2   44890364.000
14/02/20 22:48      116652.125   -43019220.000    12819404.000  16.6 270.2   44888800.000
14/02/20 23:00    -2135497.000   -42964388.000    12820478.000  16.6 267.2   44887236.000
14/02/20 23:12    -4381575.000   -42791740.000    12821551.000  16.6 264.2   44885672.000
14/02/20 23:24    -6618317.500   -42501308.000    12822624.000  16.6 261.1   44884104.000
14/02/20 23:36    -8833809.000   -42094640.000    12823698.000  16.6 258.1   44882540.000
14/02/20 23:48   -11024880.000   -41572580.000    12824769.000  16.6 255.1   44880980.000
14/02/21 00:00   -13185518.000   -40936552.000    12825841.000  16.6 252.1   44879412.000
14/02/21 00:12   -15309801.000   -40188324.000    12826913.000  16.6 249.1   44877844.000
14/02/21 00:24   -17391904.000   -39329952.000    12827983.000  16.6 246.1   44876284.000
14/02/21 00:36   -19426122.000   -38363800.000    12829054.000  16.6 243.1   44874712.000
14/02/21 00:48   -21409384.000   -37291096.000    12830124.000  16.6 240.1   44873148.000
14/02/21 01:00   -23331182.000   -36117520.000    12831194.000  16.6 237.1   44871584.000
14/02/21 01:12   -25188826.000   -34845008.000    12832265.000  16.6 234.1   44870020.000
14/02/21 01:24   -26977216.000   -33477056.000    12833333.000  16.6 231.1   44868448.000
