    User: glassfish
    Date: Wed 19-Feb-2014 (050) 18:49:03
  Status: request completed successfully


GROUP 1    Satellite   Resolution   Factor
            isee3         720         1

           Start Time           Stop Time 
           2014  50  0.00000    2014 223  0.00000


 Coord/            Min/Max          Range Filter              Filter
Component   Output Markers      Minimum         Maximum      Mins/Maxes
GSE X        YES      -           -               -               -   
GSE Y        YES      -           -               -               -   
GSE Z        YES      -           -               -               -   
GSE Lat      YES      -           -               -               -   
GSE Lon      YES      -           -               -               -   


Addtnl             Min/Max          Range Filter              Filter
Options     Output Markers      Minimum         Maximum      Mins/Maxes
dEarth       YES      -           -               -               -   

Output - File: 
         lines per page: 0
 
Formats and units:
    Day/Time format: YY/MM/DD HH:MM
    Degrees/Hemisphere format: Decimal degrees with 1 place(s).
        Longitude 0 to 360, latitude -90 to 90.
    Distance format: Kilometers with 3 place(s).

isee3
      Time                         GSE (km)                        GSE         Radius    
yy/mm/dd hh:mm        X               Y               Z         Lat   Long      (km)     
14/02/20 20:24    12947005.000    43000588.000      104896.281   0.1  73.2   44907536.000
14/02/20 20:36    12947310.000    42998868.000      104913.414   0.1  73.2   44905976.000
14/02/20 20:48    12947607.000    42997152.000      104927.430   0.1  73.2   44904412.000
14/02/20 21:00    12947891.000    42995432.000      104943.000   0.1  73.2   44902852.000
14/02/20 21:12    12948216.000    42993708.000      104957.789   0.1  73.2   44901292.000
14/02/20 21:24    12948480.000    42992000.000      104974.141   0.1  73.2   44899736.000
14/02/20 21:36    12948802.000    42990268.000      104990.492   0.1  73.2   44898168.000
14/02/20 21:48    12952058.000    42987660.000      105004.508   0.1  73.2   44896608.000
14/02/20 22:00    12952342.000    42985944.000      105019.297   0.1  73.2   44895048.000
14/02/20 22:12    12952663.000    42984220.000      105034.875   0.1  73.2   44893484.000
14/02/20 22:24    12952965.000    42982488.000      105051.227   0.1  73.2   44891924.000
14/02/20 22:36    12953245.000    42980776.000      105066.016   0.1  73.2   44890364.000
14/02/20 22:48    12953571.000    42979040.000      105082.367   0.1  73.2   44888800.000
14/02/20 23:00    12953858.000    42977324.000      105098.719   0.1  73.2   44887236.000
14/02/20 23:12    12954133.000    42975608.000      105112.734   0.1  73.2   44885672.000
14/02/20 23:24    12957416.000    42972984.000      105129.859   0.1  73.2   44884104.000
14/02/20 23:36    12957693.000    42971264.000      105146.211   0.1  73.2   44882540.000
14/02/20 23:48    12957976.000    42969548.000      105161.000   0.1  73.2   44880980.000
14/02/21 00:00    12958300.000    42967812.000      105176.578   0.1  73.2   44879412.000
14/02/21 00:12    12958580.000    42966096.000      105192.148   0.1  73.2   44877844.000
14/02/21 00:24    12958880.000    42964368.000      105206.938   0.1  73.2   44876284.000
14/02/21 00:36    12959201.000    42962632.000      105221.734   0.1  73.2   44874712.000
14/02/21 00:48    12962420.000    42960028.000      105237.305   0.1  73.2   44873148.000
14/02/21 01:00    12962721.000    42958304.000      105252.875   0.1  73.2   44871584.000
14/02/21 01:12    12963026.000    42956576.000      105270.781   0.1  73.2   44870020.000
14/02/21 01:24    12963330.000    42954848.000      105284.016   0.1  73.2   44868448.000
14/02/21 01:36    12963626.000    42953116.000      105300.367   0.1  73.2   44866884.000
14/02/21 01:48    12963933.000    42951388.000      105316.719   0.1  73.2   44865312.000
14/02/21 02:00    12964194.000    42949672.000      105332.289   0.1  73.2   44863752.000
14/02/21 02:12    12964495.000    42947944.000      105348.641   0.1  73.2   44862176.000
14/02/21 02:24    12967773.000    42945316.000      105363.438   0.1  73.2   44860612.000
14/02/21 02:36    12968055.000    42943592.000      105377.453   0.1  73.2   44859044.000
14/02/21 02:48    12968380.000    42941856.000      105393.797   0.1  73.2   44857476.000
14/02/21 03:00    12968641.000    42940136.000      105410.148   0.1  73.2   44855900.000
14/02/21 03:12    12968942.000    42938408.000      105425.719   0.1  73.2   44854340.000
14/02/21 03:24    12969267.000    42936672.000      105438.961   0.1  73.2   44852768.000
14/02/21 03:36    12969546.000    42934944.000      105456.086   0.1  73.2   44851196.000
14/02/21 03:48    12972780.000    42932328.000      105469.320   0.1  73.2   44849624.000
14/02/21 04:00    12973082.000    42930592.000      105485.672   0.1  73.2   44848056.000
14/02/21 04:12    12973365.000    42928864.000      105503.578   0.1  73.2   44846480.000
14/02/21 04:24    12973688.000    42927132.000      105516.039   0.1  73.2   44844916.000
14/02/21 04:36    12973970.000    42925396.000      105532.391   0.1  73.2   44843336.000
14/02/21 04:48    12974253.000    42923676.000      105548.734   0.1  73.2   44841764.000
14/02/21 05:00    12974531.000    42921948.000      105564.312   0.1  73.2   44840196.000
14/02/21 05:12    12974852.000    42920204.000      105579.883   0.1  73.2   44838624.000
14/02/21 05:24    12978091.000    42917584.000      105594.672   0.1  73.2   44837052.000
14/02/21 05:36    12978371.000    42915856.000      105610.242   0.1  73.2   44835476.000
14/02/21 05:48    12978695.000    42914112.000      105625.039   0.1  73.2   44833904.000
14/02/21 06:00    12978956.000    42912392.000      105641.391   0.1  73.2   44832328.000
14/02/21 06:12    12979255.000    42910652.000      105657.742   0.1  73.2   44830752.000
14/02/21 06:24    12979561.000    42908920.000      105671.758   0.1  73.2   44829180.000
14/02/21 06:36    12979844.000    42907188.000      105686.547   0.1  73.2   44827608.000
14/02/21 06:48    12983100.000    42904560.000      105703.680   0.1  73.2   44826032.000
14/02/21 07:00    12983357.000    42902832.000      105718.469   0.1  73.2   44824452.000
14/02/21 07:12    12983661.000    42901100.000      105733.266   0.1  73.2   44822884.000
14/02/21 07:24    12984001.000    42899344.000      105748.836   0.1  73.2   44821304.000
14/02/21 07:36    12984264.000    42897616.000      105765.188   0.1  73.2   44819728.000
14/02/21 07:48    12984563.000    42895876.000      105780.758   0.1  73.2   44818148.000
14/02/21 08:00    12984829.000    42894152.000      105795.547   0.1  73.2   44816576.000
14/02/21 08:12    12985129.000    42892416.000      105810.344   0.1  73.2   44815000.000
14/02/21 08:24    12988362.000    42889788.000      105826.695   0.1  73.2   44813420.000
14/02/21 08:36    12988665.000    42888048.000      105842.266   0.1  73.2   44811840.000
14/02/21 08:48    12988966.000    42886308.000      105857.836   0.1  73.2   44810264.000
14/02/21 09:00    12989230.000    42884580.000      105873.406   0.1  73.1   44808688.000
14/02/21 09:12    12989531.000    42882840.000      105888.203   0.1  73.1   44807108.000
14/02/21 09:24    12989831.000    42881100.000      105903.773   0.1  73.1   44805524.000
14/02/21 09:36    12990095.000    42879368.000      105918.562   0.1  73.1   44803952.000
14/02/21 09:48    12993369.000    42876728.000      105934.141   0.1  73.1   44802372.000
14/02/21 10:00    12993632.000    42874996.000      105948.930   0.1  73.1   44800792.000
14/02/21 10:12    12993931.000    42873252.000      105966.062   0.1  73.1   44799208.000
