Date, Time (UTC), Azimuth (°), Elevation (°), Distance (km)
14/02/21,09:12,340.477442088,-37.5489736056,44810990.9146
14/02/21,09:24,343.991030188,-38.3109526769,44809474.9881
14/02/21,09:36,347.585018554,-38.9236554593,44807951.8878
14/02/21,09:48,351.248734213,-39.3820911218,44806417.5681
14/02/21,10:00,354.955014216,-39.6807962152,44804858.218
14/02/21,10:12,358.688942945,-39.8175889514,44803287.3809
14/02/21,10:24,2.42988079157,-39.7911339008,44801709.1611
14/02/21,10:36,6.15694808598,-39.6016901303,44800113.0443
14/02/21,10:48,9.84984022033,-39.2510976848,44798501.7305
14/02/21,11:00,13.489448572,-38.7427048359,44796873.9784
14/02/21,11:12,17.0587617887,-38.0811938225,44795236.9502
14/02/21,11:24,20.5475072472,-37.2712777946,44793579.5364
14/02/21,11:36,23.9348738803,-36.3217742619,44791916.3916
14/02/21,11:48,27.2163544134,-35.2391399927,44790237.6659
14/02/21,12:00,30.3856545716,-34.0312234826,44788541.983
14/02/21,12:12,33.4390457875,-32.7060852787,44786834.824
14/02/21,12:24,36.375134616,-31.2718026657,44785122.6894
14/02/21,12:36,39.1944924063,-29.736306869,44783390.1275
14/02/21,12:48,41.9026493328,-28.1051788946,44781646.3664
14/02/21,13:00,44.496089251,-26.3899903332,44779896.3574
14/02/21,13:12,46.9827864804,-24.5956688132,44778127.7076
14/02/21,13:24,49.3678901967,-22.7287591784,44776353.2925
14/02/21,13:36,51.656955407,-20.7954032494,44774566.9233
14/02/21,13:48,53.8559282874,-18.8012308211,44772776.1439
14/02/21,14:00,55.9708085118,-16.7515200065,44770971.4979
14/02/21,14:12,58.0077231384,-14.6510685255,44769157.8361
14/02/21,14:24,59.9752118834,-12.501529614,44767342.7201
14/02/21,14:36,61.874164133,-10.3125092976,44765514.0601
14/02/21,14:48,63.7130165474,-8.08501343859,44763685.5812
14/02/21,15:00,65.497447096,-5.82247709021,44761849.2846
14/02/21,15:12,67.2330025544,-3.52806814111,44760006.1726
14/02/21,15:24,68.9250951177,-1.20469233342,44758162.3461
14/02/21,15:36,70.5790062628,1.1449568941,44756307.6746
